packed_designation,a_au,Nopp
K01OA8Q,45.3207475,5
K01OA8Z,43.5319753,4
K01OA9G,43.7634447,4
K01OA9M,68.8143149,4
K01P47K,40.1170143,7
K01QT7Q,44.7436939,4
K01QT7X,44.4756576,8
K01QT7Z,44.5668997,8
K01QT8A,46.6159194,6
K01QW2W,44.2483854,6
K01RE3V,46.4788931,15
K01RE3W,43.3850994,6
K01RE3Y,42.3786572,6
K01U18N,44.5804143,6
K01U18P,48.1100261,9
K01V71N,39.5658602,6
K01XP4U,43.3676324,9
K01XP4X,43.7154991,6
K02CF4S,42.8929231,7
K02CF4T,46.5016184,6
K02CF4U,43.5671995,8
K02CF4Y,44.0451347,4
K02CF4Z,43.1649831,5
K02CM4X,46.3794827,6
K02CM5B,43.7769608,7
K02CO8Z,52.8734824,6
K02CP1D,42.3562907,5
K02CP1E,39.0485347,6
K02F06V,46.7572323,4
K02F36W,42.6610782,5
K02F36X,43.9415014,6
K02F36Y,31.8707873,5
K02G31W,39.1473673,6
K02G32A,52.1214811,4
K02G32E,39.1395588,7
K02G32L,39.2666449,4
K02G32R,39.4933044,3
K02G32S,42.0739926,6
K02G32W,34.9276192,4
K02GG6H,39.0357113,13
K02PE9O,44.3470368,6
K02PE9P,41.2162117,7
K02PE9R,45.7812745,7
K02PF0G,44.0563499,6
K02PF5D,43.5745439,5
K02PH0R,44.5023526,4
K02PH0S,44.2231533,4
K02PH0U,48.2248634,7
K02PH0X,42.9726944,5
K02PH0Y,43.3275459,4
K02PH0Z,42.8675024,5
K02PH1A,44.6509641,4
K02PH1C,45.0456287,4
K02TU1H,39.6501534,5
K02VD0E,44.7350109,5
K02VD0F,46.0453784,5
K02VD0V,42.6829428,6
K02VD0X,39.7778589,5
K02VD1B,43.4642715,6
K02VD1D,45.4899485,5
K02VD1F,44.3058729,4
K02VD8D,39.7692122,6
K02W21L,43.2336198,6
K02X91E,46.1696172,10
K03FC7J,44.5913174,3
K03FC7L,39.0966399,6
K03FC7M,43.5410337,4
K03FC8D,38.0742478,6
K03FC9H,70.2601442,5
K03FC9Z,61.2651308,8
K03FD0A,42.3649931,5
K03G55F,45.2743803,4
K03H56X,46.9692727,5
K03H56Z,43.3643015,4
K03H57A,39.2340742,6
K03H57F,39.148856,6
K03H57H,43.7496973,6
